drawTime,result
992306430000,4
992306520000,1
992306610000,3
992306700000,2
992306790000,3
992306880000,7
992306970000,6
992307060000,0
992307150000,2
992307240000,3
992307330000,0
992307420000,9
992307510000,4
992307600000,6
992307690000,0
992307780000,0
992307870000,9
992307960000,2
992308050000,0
992308140000,2
992308230000,8
992308320000,3
992308410000,7
992308500000,3
992308590000,9
992308680000,3
992308770000,4
992308860000,7
992308950000,1
992309040000,7
992309130000,9
992309220000,5
992309310000,9
992309400000,8
992309490000,7
992309580000,0
992309670000,3
992309760000,0
992309850000,4
992309940000,7
992310030000,1
992310120000,8
992310210000,7
992310300000,7
992310390000,5
992310480000,4
992310570000,6
992310660000,8
992310750000,8
992310840000,6
992310930000,4
992311020000,5
992311110000,9
992311200000,2
992311290000,8
992311380000,3
992311470000,9
992311560000,8
992311650000,7
992311740000,1
992311830000,8
992311920000,6
992312010000,9
992312100000,3
992312190000,3
992361780000,6
992361870000,8
992361960000,1
992362050000,2
992362140000,2
992362230000,0
992362320000,2
992362410000,0
992362500000,6
992362590000,5
992362680000,3
992362770000,6
992362860000,0
992362950000,2
992363040000,8
992363130000,6
992363310000,2
992363400000,9
992363490000,1
992363580000,0
992363670000,3
992364930000,5
992365020000,8
992365110000,1
992365200000,5
992365290000,9
992365380000,8
992365470000,3
992365560000,3
992365650000,7
992365740000,8
992365830000,7
992365920000,0
992366010000,0
992366100000,2
992366190000,9
992366280000,9
992366370000,3
992366460000,1
992366550000,1
992366640000,5
992366730000,6
992366820000,0
992366910000,2
992367000000,6
992367090000,3
992367180000,4
992367270000,1
992367360000,1
992367450000,2
992367540000,0
992367630000,0
992367720000,0
992367810000,8
992367900000,9
992367990000,1
992368080000,8
992368170000,4
992368260000,1
992368350000,4
992368440000,0
992368530000,2
992368620000,9
992368710000,9
992368800000,4
992368890000,6
992368980000,7
992369070000,4
992369160000,4
992369250000,3
992369340000,0
992369430000,2
992369520000,2
992369610000,4
992369700000,0
992369790000,2
992369880000,6
992369970000,3
992370060000,5
992370150000,6
992370240000,4
992370330000,5
992370420000,0
992370510000,4
994876200000,1
994876290000,4
994876380000,9
994876470000,4
994876560000,7
994877010000,0
994877100000,7
994877190000,3
994877280000,6
994877370000,1
994877460000,5
994877550000,4
994877640000,7
994877730000,8
994877820000,9
994878000000,8
994878090000,8
994878180000,3
994878270000,0
994878360000,2
994878450000,8
994878540000,9
994878630000,3
994878720000,8
994878810000,3
994878900000,9
994878990000,4
994879080000,6
994879170000,4
994879260000,4
994879350000,3
994879440000,2
994879530000,5
994879620000,0
994879710000,0
994879800000,6
994879890000,4
994879980000,6
994880070000,5
994880160000,6
994880250000,5
994880340000,0
994880430000,1
994880520000,9
994880610000,1
994880700000,0
994880790000,7
994880880000,6
994880970000,3
994881060000,8
994881150000,8
994881240000,5
994881330000,5
994881420000,9
994881510000,0
994881600000,4
994881690000,0
994881780000,9
994881870000,4
994881960000,3
994882050000,0
994882140000,7
994882230000,7
994882320000,9
994882410000,7
994882500000,5
994882590000,6
994882680000,5
994882770000,0
994882860000,5
994882950000,2
994883040000,2
994883130000,3
994883220000,2
994883310000,6
994883400000,2
994883490000,6
994883580000,5
994883670000,7
994883760000,6
994883850000,0
994883940000,1
994884030000,7
994884120000,8
994884210000,7
994884300000,7
994884390000,5
994884480000,0
994884570000,8
994884660000,6
994884750000,9
994884840000,7
994884930000,5
994885020000,7
994885110000,5
994885200000,5
994885290000,3
994885380000,1
994885470000,0
994885560000,3
994885650000,1
994885740000,0
994885830000,6
994885920000,9
994886010000,9
994886100000,3
994886190000,6
994886280000,4
994886370000,5
994886460000,3
994886550000,5
994886640000,4
994886730000,0
994886820000,9
994886910000,9
994887000000,8
994887090000,3
994887180000,4
994887270000,2
994887360000,1
994887450000,2
994887450000,2
994887540000,8
994887630000,8
994887720000,8
994887810000,3
994887900000,6
994887990000,5
994888080000,5
994888170000,7
994888260000,1
994888350000,0
994888440000,1
994888530000,0
994888620000,7
994888710000,7
994888890000,3
994888980000,5
994889070000,8
994889160000,1
994889250000,0
994889340000,2
994889430000,2
994889520000,2
994889610000,2
994889700000,9
994889790000,9
994889880000,7
994889970000,0
994890060000,1
994890150000,9
994890240000,2
994890330000,1
994890420000,6
994890510000,7
994890600000,0
994890690000,9
994890780000,4
994890870000,3
994890960000,5
994891050000,0
994891140000,2
994891230000,7
994891320000,9
994891410000,8
994891500000,4
994891590000,7
994891680000,6
994891770000,6
994891860000,3
994891950000,3
994892040000,9
994892130000,1
994892220000,2
994892310000,0
994892400000,5
994892490000,6
994892580000,2
994892670000,7
994892760000,0
994892850000,4
994892940000,7
994893030000,3
994893120000,8
994893210000,1
994893300000,5
994893390000,4
994893480000,0
994893570000,5
994893660000,4
994893750000,3
994893840000,1
994893930000,9
994894020000,0
994894110000,3
994894200000,3
994894290000,8
994894380000,4
994894470000,3
994916070000,1
994916160000,6
994916250000,8
994916340000,0
994916430000,4
994916520000,1
994916610000,8
994916700000,2
994916790000,8
994916880000,1
994916970000,4
994917060000,0
994917150000,6
994917240000,0
994917330000,7
994917420000,8
994917510000,5
994917600000,7
994917690000,8
994917780000,9
994917870000,8
994917960000,2
994918050000,9
994918140000,5
994918230000,9
994918320000,4
994918410000,6
994918500000,8
994918590000,8
994918680000,4
994918770000,8
994918860000,2
994918950000,3
994919040000,4
994919130000,2
994919220000,6
994919310000,0
994919850000,6
994919940000,9
994919940000,9
994920030000,5
994920120000,7
994920210000,4
994920300000,8
994920390000,5
994920480000,8
994920570000,3
994920660000,4
994920750000,1
994920840000,0
994920930000,0
994921020000,1
994921110000,7
994921200000,0
994921290000,8
994921380000,0
994921470000,0
994921560000,0
994921650000,0
994921740000,6
994921830000,4
994921920000,1
994922010000,1
994922100000,0
994922190000,6
994922280000,0
994922370000,0
994922460000,1
994922550000,2
994922640000,2
994922730000,6
994922820000,4
994922910000,6
994923000000,3
994923090000,6
994923180000,1
994923270000,1
994923360000,4
994923450000,6
994923540000,1
994923630000,8
994923720000,6
994923810000,0
994923900000,1
994923990000,5
994924080000,8
994924170000,1
994924260000,8
994924350000,9
994924440000,3
994924530000,0
994924620000,3
994924710000,7
994924800000,2
994924890000,5
994924980000,0
994925070000,8
994925160000,5
994925250000,2
994925340000,3
994925430000,0
994925520000,7
994925610000,7
994925700000,0
994925790000,9
994925880000,7
994925970000,2
994926060000,5
994926150000,7
994926240000,2
994926330000,2
994926420000,3
994926510000,4
994926600000,2
994926690000,6
994926780000,4
994926870000,2
994926960000,7
994927050000,8
994927140000,8
994927230000,4
994927320000,1
994927410000,2
994927500000,7
994927590000,7
994927680000,8
994927770000,2
994927860000,6
994927950000,6
994928040000,7
994940730000,9
994940820000,5
994940910000,3
994941090000,0
994941180000,4
994941270000,0
994941360000,1
994941450000,7
994941540000,3
994941630000,6
994941720000,5
994941810000,2
994941900000,0
994941990000,5
994942080000,2
994942170000,6
994942260000,5
994942350000,2
994942440000,9
994942530000,7
994942620000,7
994942710000,9
994942800000,3
994942890000,6
994942980000,8
994943070000,7
994943160000,9
994943250000,3
994943340000,3
994943430000,6
994943520000,3
994943610000,6
994943700000,0
994943790000,5
994943880000,3
994943970000,7
994944060000,5
994944150000,0
994944240000,5
994944330000,9
994944420000,5
994944510000,6
994944600000,4
994944690000,9
994944780000,2
994944870000,7
994944960000,9
994945050000,3
994945140000,7
994945230000,7
994945320000,5
994945410000,0
994945500000,2
994945590000,7
994945680000,2
994945770000,2
994945860000,6
994945950000,9
994945950000,9
994946040000,2
994946130000,4
994946220000,4
994946310000,2
994946400000,4
994946490000,4
994946580000,6
994946670000,2
994946760000,5
994946850000,9
994946940000,6
994947030000,0
994947120000,6
994947210000,3
994947300000,8
994947390000,3
994947480000,9
994947570000,5
994947660000,0
994947750000,5
994947840000,7
994947930000,0
994948020000,1
994948110000,2
994948200000,4
994948290000,6
994948380000,7
994948470000,4
994948560000,0
994948650000,6
994948740000,2
994948830000,7
994948920000,4
994949010000,4
994949100000,5
994949190000,3
994949280000,4
994949370000,5
994949460000,6
994949550000,1
994949640000,5
994949730000,5
994949820000,3
994949910000,9
994950000000,3
994950090000,2
994950180000,7
994950270000,5
994951350000,5
994951440000,6
994951530000,0
994951620000,9
994951710000,2
994951800000,7
994951890000,5
994951980000,1
994952070000,0
994952160000,8
994952250000,8
994952340000,0
994952430000,1
994952520000,6
994952610000,6
994952700000,2
994952790000,8
994952880000,0
994952970000,3
994953060000,9
994953150000,2
994953240000,8
994953330000,5
994953420000,7
994953510000,6
994953600000,5
994953690000,7
994953780000,8
994953870000,8
994953960000,2
994954050000,6
994954140000,1
994954230000,3
994954320000,7
994954410000,1
994954500000,9
994954590000,3
994954680000,6
994954770000,6
994954860000,1
994954950000,9
994955040000,2
994955130000,8
994955220000,0
994955310000,3
994955400000,7
994955490000,5
994955580000,5
994955670000,2
994955760000,6
994955850000,0
994955940000,6
994956030000,3
994956120000,9
994956210000,4
994956300000,5
994956390000,1
994956480000,5
994956570000,2
994956660000,5
994956750000,6
994956840000,0
994956930000,7
994957020000,0
994957110000,2
994957200000,0
994957290000,9
994957380000,5
994957470000,7
994957560000,6
994957650000,6
994957740000,0
994957830000,5
994957920000,6
994958010000,8
994958100000,0
994958190000,0
994958280000,9
994958370000,4
994958460000,3
994958550000,8
994958640000,4
994958730000,4
994958820000,2
994958910000,7
994959000000,2
994959090000,8
994959180000,8
994959270000,6
994959360000,1
994959450000,7
994959540000,3
994959630000,7
994959720000,7
994959810000,3
994959900000,8
994959990000,5
994960080000,6
994960170000,4
994960260000,2
994960350000,5
994960440000,4
994960530000,0
994960620000,6
994960710000,6
994960800000,3
994960890000,1
994960980000,4
994961070000,2
994961160000,6
994961250000,9
994961340000,3
994961430000,1
994961520000,9
994961610000,7
994961700000,3
994961790000,3
994961880000,1
994961970000,7
994961970000,7
994962060000,8
994962150000,4
994962240000,1
994962240000,1
994962330000,0
994962420000,6
994962510000,5
997554600000,6
997554690000,1
997554690000,1
997554780000,5
997554870000,9
997554960000,8
997555050000,2
997555140000,3
997555230000,5
997555320000,4
997555410000,1
997555500000,2
997555590000,5
997555680000,1
997555770000,9
997555860000,0
997555950000,7
997556040000,7
997556130000,0
997556220000,2
997556310000,9
997556400000,5
997556490000,1
997556580000,4
997556670000,5
997556760000,2
997556850000,7
997556940000,5
997557030000,5
997557120000,2
997557210000,6
997557300000,9
997557390000,6
997557480000,3
997557570000,7
997557660000,3
997557750000,2
997557840000,1
997557930000,1
997558020000,0
997558110000,6
997558200000,5
997558290000,1
997558380000,1
997558470000,2
997558560000,8
997558650000,2
997558740000,3
997558830000,9
997558920000,4
997559010000,9
997559100000,8
997559190000,8
997559280000,9
997559370000,7
997559460000,9
997559550000,7
997559640000,1
997559730000,4
997559820000,9
997559910000,6
997559910000,6
997560000000,4
997560090000,2
997560180000,5
997560270000,1
997560360000,5
997560450000,0
997560540000,9
997560630000,8
997560720000,9
997560810000,1
997560900000,7
997560990000,2
997561080000,8
997561170000,7
997561260000,1
997561350000,8
997561440000,7
997561530000,0
997561620000,9
997561710000,7
997561800000,9
997561890000,2
997561980000,4
997562070000,9
997562160000,9
997562250000,0
997562340000,7
997562430000,3
997562520000,8
997562610000,7
997562700000,0
997562790000,9
997562880000,7
997562970000,8
997563060000,1
997563150000,5
997563240000,1
997563330000,4
997563420000,2
997563510000,3
997563600000,0
997563690000,5
997563780000,6
997563870000,5
997563960000,7
997564050000,8
997564140000,1
997564230000,0
997564320000,5
997564410000,1
997564500000,1
997564590000,6
997564680000,9
997564770000,0
997564860000,3
997564950000,4
997565040000,0
997565130000,4
997565220000,2
997565310000,1
997565400000,0
997565490000,2
997565580000,7
997565670000,1
997565760000,5
997565850000,1
997565940000,9
997566030000,3
997566120000,5
997566210000,0
997566300000,8
997566390000,4
997566480000,6
997566570000,9
997566660000,6
997566750000,0
997566840000,8
997566930000,2
997567020000,5
997567110000,9
997567200000,5
997567290000,6
997567380000,0
997567470000,8
997567560000,2
997567650000,2
997567740000,3
997567830000,7
997567920000,8
997568010000,1
997568100000,3
997568190000,5
997568280000,0
997568370000,3
997568460000,2
997568550000,8
997568640000,0
997568730000,6
997568820000,6
997568910000,2
997569000000,4
997569090000,2
997569180000,6
997569270000,2
997569360000,9
997569450000,5
997569540000,7
997569630000,9
997569720000,8
997569810000,7
997569900000,3
997569990000,1
997570080000,8
997570170000,6
997570260000,0
997570350000,2
997570440000,6
997570530000,6
997570620000,1
997570710000,0
997570800000,3
997570890000,9
997570980000,3
997571070000,3
997571160000,6
997571250000,7
997571340000,5
997571430000,1
997571520000,5
997571610000,6
997571700000,1
997571790000,9
997571880000,1
997571970000,1
997572060000,1
997572150000,8
997572240000,7
997572330000,3
997572420000,9
997572510000,0
997572600000,0
997572690000,0
997572780000,0
997572870000,2
997572960000,5
997573050000,1
997573140000,6
997573230000,9
997573320000,1
997573410000,4
997573500000,7
997573590000,1
997573680000,8
997573770000,2
997573860000,8
997573950000,4
997574040000,9
997574130000,7
997574220000,3
997574310000,9
997574400000,0
997574490000,6
997574580000,3
997574670000,7
997574760000,8
997574850000,6
997574940000,8
997575030000,7
997575120000,1
997575210000,2
997575300000,1
997575390000,3
997575480000,4
997575570000,3
997575660000,7
997575750000,4
997575840000,6
997575930000,1
997576020000,2
997576110000,6
997576200000,8
997576290000,5
997576380000,3
997576470000,3
997576560000,2
997576650000,8
997576740000,0
997576830000,3
997576920000,2
997577010000,1
997577100000,7
997577190000,3
997577280000,1
997577370000,5
997577460000,7
997577550000,1
997577640000,0
997577730000,0
997577820000,0
997577910000,2
997578000000,0
997578090000,2
997578180000,9
997578270000,0
997578360000,6
997578450000,1
997578540000,6
997578630000,5
997578720000,6
997578810000,4
997578900000,7
997578990000,6
997579080000,6
997579170000,4
997579260000,3
997579350000,2
997579440000,5
997579530000,1
997579620000,7
997579710000,4
997579800000,4
997579890000,0
997579980000,6
997580070000,7
997580160000,7
997580250000,8
997580340000,2
997580430000,1
997580520000,8
997580610000,5
997580700000,2
997580790000,3
997580880000,9
997580970000,5
997581060000,3
997581150000,7
997581240000,1
997581330000,0
997581420000,8
997581510000,3
997581600000,0
997581690000,8
997581780000,0
997581870000,9
997581960000,8
997582050000,7
997582140000,0
997582230000,6
997582320000,0
997582410000,3
997582500000,5
997582590000,3
997582680000,4
997582770000,4
997582860000,3
997582950000,8
997583040000,3
997583130000,5
997583220000,5
997583310000,5
997583400000,6
997583490000,9
997583580000,6
997583670000,3
997583760000,3
997583850000,6
997583940000,4
997584030000,3
997584120000,9
997584210000,7
997584300000,3
997584390000,0
997584480000,5
997584570000,7
997584660000,3
997584750000,0
997584840000,0
997584930000,4
997585020000,5
997585110000,3
997585200000,1
997585290000,6
997585380000,1
997585470000,8
997585560000,8
997585650000,4
997585740000,6
997585830000,6
997585920000,2
997586010000,1
997586100000,1
997586190000,6
997586280000,5
997586370000,2
997586460000,3
997586550000,8
997586640000,9
997586730000,7
997586820000,1
997586910000,1
997587000000,4
997587090000,1
997587180000,6
997587270000,8
997587360000,6
997587450000,6
997587540000,9
997587630000,4
997587720000,1
997587810000,5
997587900000,9
997587990000,5
997588080000,2
997588170000,0
997588260000,2
997588350000,1
997588440000,3
997588530000,3
997588620000,2
997588710000,3
997588800000,1
997588890000,0
997588980000,7
997589070000,9
997589160000,4
997589250000,7
997589340000,0
997589430000,3
997589520000,3
997589610000,5
997589700000,8
997589790000,0
997589880000,9
997589970000,4
997590060000,4
997590150000,4
997590240000,3
997590330000,4
997590420000,4
997590510000,1
997590600000,7
997590690000,9
997590780000,5
997590870000,5
997590960000,2
997591050000,3
997591140000,0
997591230000,7
997591320000,5
997591410000,4
997591500000,5
997591590000,6
997591680000,5
997591770000,3
997591860000,2
997591950000,0
997592040000,2
997592130000,2
997592220000,6
997592310000,9
997592400000,9
997592490000,0
997592580000,1
997592670000,2
997592760000,3
997592850000,5
997592940000,8
997593030000,0
997593120000,1
997593210000,4
997593300000,1
997593390000,9
997593480000,9
997593570000,2
997593660000,0
997593750000,4
997593840000,3
997593930000,7
997594020000,1
997594110000,5
997594200000,9
997594290000,7
997594380000,7
997594470000,3
997594560000,8
997594650000,5
997594740000,9
997594830000,8
997594920000,8
997595010000,6
997595100000,0
997595190000,1
997595280000,1
997595370000,8
997595460000,1
997595550000,5
997595640000,6
997595730000,4
997595820000,7
997595910000,3
997596000000,1
997596090000,6
997596180000,8
997596270000,0
997596360000,3
997596450000,3
997596540000,0
997596630000,2
997596720000,6
997596810000,3
997596900000,1
997596990000,8
997597080000,9
997597170000,3
997597260000,2
997597350000,2
997597440000,6
997597530000,1
997597620000,8
997597710000,8
997597800000,5
997597890000,2
997597980000,0
997598070000,6
997598160000,6
997598250000,2
997598340000,0
997598430000,9
997598520000,7
997598610000,1
997598700000,5
997598790000,4
997598880000,6
997598970000,8
997599060000,0
997599150000,3
997599240000,4
997599330000,2
997599420000,7
997599510000,1
997599600000,4
997599690000,9
997599780000,7
997599870000,9
997599960000,7
997600050000,4
997600140000,9
997600230000,9
997600320000,9
997600410000,2
997600500000,0
997600590000,4
997600680000,5
997600770000,6
997600860000,0
997600950000,4
997601040000,5
997601130000,0
997601220000,1
997601310000,3
997601400000,8
997601490000,6
997601580000,1
997601670000,5
997601760000,4
997601850000,6
997601940000,1
997602030000,8
997602120000,9
997602210000,8
997602300000,0
997602390000,9
997602480000,2
997602570000,5
997602660000,5
997602750000,5
997602840000,2
997602930000,5
997603020000,9
997603110000,1
997603200000,4
997603290000,9
997603380000,6
997603470000,0
997603560000,0
997603650000,3
997603740000,0
997603830000,5
997603920000,3
997604010000,6
997604100000,6
997604190000,4
997604280000,3
997604370000,4
997604460000,9
997604550000,7
997604640000,5
997604730000,7
997604820000,9
997604910000,3
997605000000,3
997605090000,4
997605180000,4
997605270000,3
997605360000,5
997605450000,2
997605540000,5
997605630000,4
997605720000,3
997605810000,0
997605900000,4
997605990000,8
997606080000,5
997606170000,9
997606260000,6
997606350000,1
997606440000,3
997606530000,0
997606620000,0
997606710000,5
997606800000,9
997606890000,6
997606980000,3
997607070000,1
997607160000,9
997607250000,6
997607340000,3
997607430000,9
997607520000,9
997607610000,1
997607700000,4
997607790000,8
997607880000,6
997607970000,1
997608060000,8
997608150000,2
997608240000,9
997608330000,9
997608420000,7
997608510000,9
997608600000,7
997608690000,7
997608780000,2
997608870000,5
997608960000,1
997609050000,9
997609140000,4
997609230000,6
997609320000,0
997609410000,7
997609500000,5
997609590000,1
997609680000,3
997609770000,1
997609860000,8
997609950000,4
997610040000,3
997610130000,2
997610220000,2
997610310000,0
997610400000,1
997610490000,3
997610580000,4
997610670000,5
997610760000,2
997610850000,7
997610940000,7
997611030000,9
997611120000,7
997611210000,2
997611300000,3
997611390000,7
997611480000,9
997611570000,9
997611660000,6
997611750000,3
997611840000,4
997611930000,6
997612020000,4
997612110000,8
997612200000,6
997612290000,8
997612380000,0
997612470000,7
997612560000,0
997612650000,8
997612740000,2
997612830000,1
997612920000,0
997613010000,6
997613100000,0
997613190000,1
997613280000,9
997613370000,3
997613460000,7
997613550000,3
997613640000,5
997613910000,6
997614000000,5
997614090000,7
997614180000,9
997614270000,7
997614360000,4
997614450000,5
997614540000,6
997614630000,6
997614720000,7
997614810000,4
997614900000,0
997614990000,8
997615080000,6
997615170000,3
997615260000,1
997615350000,6
997615440000,9
997615530000,6
997615620000,5
997615710000,9
997615800000,8
997615890000,5
997615980000,5
997616070000,0
997616160000,8
997616250000,8
997616340000,8
997616430000,3
997616520000,6
997616610000,0
997616700000,5
997616790000,3
997616880000,4
997616970000,7
997617060000,3
997617150000,7
997617240000,3
997617330000,4
997617420000,9
997617510000,7
997617600000,7
997617690000,0
997617780000,5
997617870000,7
997617960000,3
997618050000,2
997618140000,4
997618230000,5
997618320000,4
997618410000,2
997618500000,0
997618590000,1
997618680000,5
997618770000,4
997618860000,5
997618950000,6
997619040000,6
997619130000,6
997619220000,5
997619310000,3
997619400000,1
997619490000,7
997619580000,6
997619670000,3
997619760000,1
997619850000,3
997619940000,9
